Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country A,N_A,%R_A,MIC50_A,MIC90_A,GeoMean_A,Modal_A,Skew_A,Country B,N_B,%R_B,MIC50_B,MIC90_B,GeoMean_B,Modal_B,Skew_B,%R difference (pp),GeoMean gap (log2 steps),Modal MIC differs?,Min N
Haemophilus influenzae,CLA,Clarithromycin,moderate,Costa Rica,52,3.85,4.0,8.0,4.2757,4.0,-0.346,Vietnam,89,10.11,4.0,16.0,1.4068,4.0,-0.731,6.26,1.604,False,52
Haemophilus influenzae,CLA,Clarithromycin,moderate,Chile,77,10.39,4.0,16.0,4.1842,4.0,1.321,Vietnam,89,10.11,4.0,16.0,1.4068,4.0,-0.731,0.28,1.573,False,77
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Argentina,95,7.37,0.03,2.0,0.058,0.015,1.552,Chile,73,15.07,0.12,8.0,0.1718,0.015,0.58,7.7,1.567,False,73
Haemophilus influenzae,CXM,Cefuroxime,moderate,Argentina,89,0.0,0.5,1.0,0.4761,0.5,-0.767,Singapore,80,5.0,2.0,4.0,1.402,2.0,0.598,5.0,1.558,True,80
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Ukraine,99,1.01,0.5,2.0,0.3725,0.5,0.071,Vietnam,89,4.49,1.0,4.0,1.0949,1.0,-0.619,3.48,1.555,True,89
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Chile,73,12.33,0.12,1.0,0.095,0.015,0.218,Tunisia,79,20.25,0.5,1.0,0.2775,0.5,-1.194,7.92,1.546,True,73
Haemophilus influenzae,CLA,Clarithromycin,moderate,Saudi Arabia,55,5.45,4.0,8.0,4.1021,4.0,0.284,Vietnam,89,10.11,4.0,16.0,1.4068,4.0,-0.731,4.66,1.544,False,55
Haemophilus influenzae,POD,Cefpodoxime,moderate,Singapore,80,0.0,0.12,0.5,0.1366,0.06,0.567,Ukraine,99,0.0,0.06,0.12,0.047,0.03,0.263,0.0,1.539,True,80
Haemophilus influenzae,CDN,Cefdinir,moderate,Singapore,80,0.0,0.03,0.06,0.0384,0.03,2.701,Vietnam,89,0.0,0.12,0.25,0.111,0.12,0.479,0.0,1.531,True,80
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Argentina,95,1.05,0.015,0.5,0.0344,0.015,1.327,Pakistan,94,0.0,0.12,0.25,0.0979,0.12,-0.783,1.05,1.509,True,94
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Kuwait,82,4.88,0.12,1.0,0.1526,0.015,-0.208,Ukraine,78,1.28,0.03,0.5,0.0544,0.03,1.099,3.6,1.488,True,78
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Argentina,95,7.37,0.03,2.0,0.0602,0.015,1.519,Chile,73,15.07,0.12,8.0,0.1686,0.015,0.531,7.7,1.486,False,73
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Cambodia,48,4.17,0.12,1.0,0.1478,0.015,-0.159,Tunisia,79,8.86,1.0,1.0,0.4116,1.0,-1.229,4.69,1.478,True,48
Haemophilus influenzae,CXM,Cefuroxime,moderate,Chile,77,0.0,0.5,1.0,0.5083,0.5,-1.467,Singapore,80,5.0,2.0,4.0,1.402,2.0,0.598,5.0,1.464,True,77
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Singapore,34,23.53,0.25,8.0,0.363,0.015,-0.013,Tunisia,79,27.85,2.0,8.0,1.001,2.0,-1.105,4.32,1.463,True,34
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Cambodia,48,12.5,0.12,1.0,0.1012,0.015,0.11,Tunisia,79,20.25,0.5,1.0,0.2775,0.5,-1.194,7.75,1.455,True,48
Haemophilus influenzae,CLA,Clarithromycin,moderate,Pakistan,122,6.56,8.0,8.0,6.2284,8.0,-2.973,Philippines,59,0.0,2.0,4.0,2.2759,2.0,0.17,6.56,1.452,True,59
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Cambodia,48,4.17,0.12,1.0,0.1478,0.015,-0.159,Ukraine,78,1.28,0.03,0.5,0.0544,0.03,1.099,2.89,1.442,True,48
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Argentina,95,7.37,0.03,2.0,0.058,0.015,1.552,Saudi Arabia,36,11.11,0.12,4.0,0.1568,0.015,0.435,3.74,1.435,False,36
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Singapore,34,23.53,0.25,8.0,0.3481,0.015,-0.013,Tunisia,79,30.38,2.0,8.0,0.9404,2.0,-1.079,6.85,1.434,True,34
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Pakistan,122,0.0,0.5,1.0,0.4636,0.5,-0.062,Singapore,80,6.25,1.0,4.0,1.2514,2.0,-0.255,6.25,1.433,True,80
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Kuwait,82,4.88,0.12,1.0,0.1526,0.015,-0.208,Tunisia,79,8.86,1.0,1.0,0.4116,1.0,-1.229,3.98,1.431,True,79
